,entity,start,main,age,exp,perf
2602,66,2015-11-13,3,23.668720054757017,40,1904.4819079364033
2603,66,2015-12-17,3,23.761806981519506,41,1901.8980698506061
2604,66,2015-12-25,3,23.783709787816566,42,1921.7083763483836
2605,66,2016-01-01,3,23.802874743326488,43,1927.3157158093777
2606,66,2016-01-13,3,23.835728952772072,44,1924.7876214084854
2607,66,2016-01-27,3,23.874058863791923,45,1922.1621964035355
2608,66,2016-02-25,3,23.953456536618756,46,1919.2972643491942
2609,66,2016-05-18,3,24.18069815195072,47,1915.2293812474893
2610,66,2016-06-13,3,24.251882272416154,48,1915.2884650971614
2611,66,2016-10-16,3,24.594113620807665,52,1989.0392778725172
2612,66,2017-02-23,3,24.95003422313484,53,1987.2205568729646
2613,66,2017-03-15,3,25.00479123887748,54,1805.2431238032798
2614,66,2017-03-27,3,25.037645448323065,55,1940.7929185737094
2615,66,2017-04-24,3,25.114305270362767,56,1783.387057097112
2616,66,2017-05-18,3,25.180013689253936,57,1781.9962953095728
2617,66,2017-06-14,3,25.253935660506503,58,1861.3810661110035
2618,67,2013-09-09,4,18.573579739904176,5,1584.2637202197504
2619,67,2013-09-22,4,18.60917180013689,6,1737.3511467743294
2620,67,2013-11-08,4,18.7378507871321,7,1753.0834184324285
2621,67,2013-11-26,4,18.78713210130048,8,1789.5453386911622
2622,67,2013-12-09,4,18.822724161533195,9,1779.7651322445256
2623,67,2013-12-23,4,18.861054072553046,10,1779.848243696523
2624,67,2014-01-07,4,18.902121834360027,11,1777.5088730398854
2625,67,2014-02-24,4,19.033538672142367,12,1789.0698486409685
2626,67,2014-02-25,4,19.0362765229295,13,1795.5665632150499
2627,67,2014-03-26,4,19.11567419575633,14,1812.7423763435736
2628,67,2014-03-29,4,19.123887748117728,15,1833.1459917642512
2629,67,2014-04-09,4,19.15400410677618,16,1852.1567012040766
2630,67,2014-05-24,4,19.277207392197127,17,1848.7991272224253
2631,67,2014-06-02,4,19.301848049281315,18,1840.2566450956872
2632,67,2014-06-04,4,19.307323750855577,19,1831.7164757558037
2633,67,2014-06-05,4,19.310061601642712,20,1833.3091051305018
2634,67,2014-06-16,4,19.340177960301162,21,1828.852306003618
2635,67,2014-06-28,4,19.37303216974675,23,1853.0722117163366
2636,67,2014-07-08,4,19.40041067761807,24,1859.7380234407963
2637,67,2014-08-11,4,19.49349760438056,25,1909.1280312581623
2638,67,2014-09-05,4,19.561943874058862,26,1957.35843193279
2639,67,2014-09-09,4,19.572895277207394,27,2006.9525035439874
2640,67,2014-09-12,4,19.581108829568787,28,2009.491822522958
2641,67,2014-10-02,4,19.63586584531143,29,2003.7039425090932
2642,67,2014-10-09,4,19.655030800821354,30,2012.464293766669
2643,67,2014-10-30,4,19.71252566735113,32,2013.4644673214366
2644,67,2014-11-17,4,19.761806981519506,33,1990.1116458789172
